wav,label
/data/datasets/AngryMedia/Female/angry_media-436__source_movie__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-636__source_movie__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-713__source_movie__1__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-99__source_drama__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-605__source_movie__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-544__source_movie__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-709__source_movie__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-40__source_drama__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-365__source_drama__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-661__source_movie__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-512__source_movie__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-444__source_movie__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-350__source_drama__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-674__source_movie__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-88__source_drama__1__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-660__source_movie__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-487__source_movie__1__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-520__source_movie__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-203__source_drama__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-519__source_movie__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-213__source_drama__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-66__source_drama__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-711__source_movie__1__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-102__source_drama__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-181__source_drama__1__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-410__source_movie__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-174__source_drama__1__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-687__source_movie__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-533__source_movie__1__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-248__source_drama__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-47__source_drama__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-631__source_movie__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-24__source_drama__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-281__source_drama__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-9__source_drama__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-565__source_movie__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-189__source_drama__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-268__source_drama__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-467__source_movie__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-312__source_drama__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-59__source_drama__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-23__source_drama__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-261__source_drama__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-679__source_movie__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-649__source_movie__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-349__source_drama__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-602__source_movie__1__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-461__source_movie__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-705__source_movie__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-266__source_drama__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-153__source_drama__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-454__source_movie__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-259__source_drama__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-439__source_movie__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-74__source_drama__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-452__source_movie__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-156__source_drama__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-233__source_drama__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-672__source_movie__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-2__source_drama__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-564__source_movie__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-342__source_drama__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-155__source_drama__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-425__source_movie__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-453__source_movie__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-323__source_drama__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-400__source_drama__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-22__source_drama__1__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-20__source_drama__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-576__source_movie__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-441__source_movie__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-41__source_drama__1__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-176__source_drama__1__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-303__source_drama__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-540__source_movie__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-197__source_drama__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-515__source_movie__1__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-647__source_movie__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-584__source_movie__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-100__source_drama__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-161__source_drama__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-56__source_drama__1__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-686__source_movie__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-262__source_drama__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-639__source_movie__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-600__source_movie__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-473__source_movie__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-399__source_drama__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-149__source_drama__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-64__source_drama__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-234__source_drama__1__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-67__source_drama__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-187__source_drama__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-432__source_movie__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-405__source_movie__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-173__source_drama__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-36__source_drama__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-424__source_movie__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-703__source_movie__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-503__source_movie__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-34__source_drama__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-113__source_drama__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-228__source_drama__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-3__source_drama__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-633__source_movie__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-297__source_drama__1__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-685__source_movie__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-599__source_movie__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-429__source_movie__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-136__source_drama__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-110__source_drama__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-196__source_drama__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-193__source_drama__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-492__source_movie__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-498__source_movie__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-150__source_drama__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-462__source_movie__1__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-689__source_movie__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-87__source_drama__1__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-568__source_movie__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-255__source_drama__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-561__source_movie__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-717__source_movie__1__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-495__source_movie__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-574__source_movie__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-148__source_drama__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-369__source_drama__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-207__source_drama__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-603__source_movie__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-521__source_movie__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-554__source_movie__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-21__source_drama__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-509__source_movie__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-175__source_drama__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-246__source_drama__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-706__source_movie__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-398__source_drama__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-300__source_drama__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-715__source_movie__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-151__source_drama__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-158__source_drama__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-522__source_movie__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-194__source_drama__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-469__source_movie__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-271__source_drama__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-408__source_movie__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-219__source_drama__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-211__source_drama__1__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-683__source_movie__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-427__source_movie__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-254__source_drama__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-613__source_movie__1__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-283__source_drama__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-340__source_drama__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-90__source_drama__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-389__source_drama__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-290__source_drama__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-198__source_drama__1__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-448__source_movie__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-440__source_movie__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-524__source_movie__1__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-592__source_movie__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-28__source_drama__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-354__source_drama__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-78__source_drama__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-292__source_drama__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-553__source_movie__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-168__source_drama__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-397__source_drama__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-506__source_movie__1__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-338__source_drama__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-493__source_movie__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-546__source_movie__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-549__source_movie__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-627__source_movie__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-364__source_drama__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-463__source_movie__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-619__source_movie__1__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-359__source_drama__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-314__source_drama__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-559__source_movie__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-723__source_movie__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-675__source_movie__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-221__source_drama__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-626__source_movie__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-263__source_drama__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-62__source_drama__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-125__source_drama__1__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-42__source_drama__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-598__source_movie__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-243__source_drama__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-15__source_drama__1__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-511__source_movie__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-682__source_movie__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-17__source_drama__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-438__source_movie__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-39__source_drama__1__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-284__source_drama__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-508__source_movie__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-63__source_drama__1__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-38__source_drama__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-419__source_movie__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-16__source_drama__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-122__source_drama__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-597__source_movie__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-579__source_movie__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-681__source_movie__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-548__source_movie__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-651__source_movie__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-662__source_movie__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-392__source_drama__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-316__source_drama__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-560__source_movie__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-231__source_drama__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-525__source_movie__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-278__source_drama__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-472__source_movie__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-404__source_movie__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-464__source_movie__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-208__source_drama__1__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-666__source_movie__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-93__source_drama__1__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-680__source_movie__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-582__source_movie__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-45__source_drama__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-500__source_movie__1__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-358__source_drama__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-178__source_drama__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-449__source_movie__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-555__source_movie__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-420__source_movie__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-321__source_drama__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-162__source_drama__1__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-595__source_movie__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-121__source_drama__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-665__source_movie__1__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-180__source_drama__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-383__source_drama__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-19__source_drama__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-154__source_drama__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-588__source_movie__1__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-629__source_movie__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-366__source_drama__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-572__source_movie__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-374__source_drama__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-362__source_drama__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-523__source_movie__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-353__source_drama__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-704__source_movie__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-694__source_movie__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-31__source_drama__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-387__source_drama__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-378__source_drama__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-652__source_movie__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-85__source_drama__1__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-258__source_drama__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-76__source_drama__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-583__source_movie__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-200__source_drama__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-13__source_drama__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-137__source_drama__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-696__source_movie__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-617__source_movie__1__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-209__source_drama__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-250__source_drama__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-589__source_movie__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-615__source_movie__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-422__source_movie__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-202__source_drama__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-86__source_drama__1__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-415__source_movie__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-434__source_movie__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-227__source_drama__1__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-663__source_movie__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-720__source_movie__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-604__source_movie__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-70__source_drama__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-317__source_drama__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-442__source_movie__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-688__source_movie__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-109__source_drama__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-166__source_drama__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-356__source_drama__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-37__source_drama__1__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-550__source_movie__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-164__source_drama__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-32__source_drama__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-235__source_drama__1__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-241__source_drama__0__angry_media.wav,Female
/data/datasets/AngryMedia/Female/angry_media-326__source_drama__0__angry_media.wav,Female
