wav,label,Cluster_0,Cluster_1,Cluster_2,Projection
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/1027_IEO_ANG_HI.wav,train,37,4,2,"[4.698029139790525, -2.2941680910128426]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-707__source_movie__1__angry_media.wav,train,38,8,3,"[-11.416217598630446, -2.0550171523800294]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-283__source_drama__0__angry_media.wav,train,39,11,0,"[3.0824335077089566, 1.970965360695084]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-6__source_drama__0__angry_media.wav,train,40,0,0,"[-3.0214593199105577, 0.8441616384271324]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-389__source_drama__0__angry_media.wav,train,3,3,0,"[-4.953082572123846, 4.317802016861296]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-45__source_drama__0__angry_media.wav,train,41,1,0,"[-5.87387397930334, 4.489096817054625]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-221__source_drama__0__angry_media.wav,train,21,1,0,"[-6.002099976326996, 4.400080627806246]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/1039_IOM_ANG_XX.wav,train,34,4,2,"[6.358355479891219, -0.8766723053454876]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/1035_IWW_ANG_XX.wav,train,34,4,2,"[6.350745839169042, -0.8663138216470049]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-206__source_drama__0__angry_media.wav,train,30,0,0,"[-3.694814498149003, 1.7411458067550967]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-442__source_movie__0__angry_media.wav,train,21,1,0,"[-5.994175655179264, 4.405089997809915]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-673__source_movie__0__angry_media.wav,train,15,4,2,"[4.062167066741655, 0.7065117169730526]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/1003_IWL_ANG_XX.wav,train,42,4,2,"[5.635333233059796, -0.41007690100108274]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/1068_IWL_ANG_XX.wav,train,22,4,2,"[6.112294248606519, -1.2093924870163992]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-303__source_drama__0__angry_media.wav,train,43,0,0,"[-2.7438187382065022, -0.2796742275523043]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/1013_ITH_ANG_XX.wav,train,22,4,2,"[6.058058128479263, -1.2218966023135067]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-358__source_drama__0__angry_media.wav,train,44,2,1,"[10.756781635795416, -4.827720455792674]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/0011_000636.wav,train,45,2,1,"[11.116594338917412, -4.660158523021728]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-373__source_drama__0__angry_media.wav,train,34,4,2,"[6.323071042954414, -0.8607620615818722]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-201__source_drama__1__angry_media.wav,train,46,3,0,"[-4.644958749192139, 4.797078988721366]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/0011_000466.wav,train,4,2,1,"[11.082265620538156, -4.51628137800053]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/03-01-05-01-01-02-07.wav,train,28,7,1,"[13.754743486634025, -6.716444537509112]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-619__source_movie__1__angry_media.wav,train,21,1,0,"[-6.0124101701621395, 4.399788856764883]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/0019_000518.wav,train,45,2,1,"[11.120874409084076, -4.657343638742508]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-92__source_drama__0__angry_media.wav,train,47,1,0,"[-6.181635873684847, 4.472187498691355]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-614__source_movie__1__angry_media.wav,train,48,12,1,"[7.523212805659353, -6.174323732063747]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-669__source_movie__0__angry_media.wav,train,36,6,3,"[-21.271568791361595, -5.377809643827214]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/1026_DFA_ANG_XX.wav,train,34,4,2,"[6.350461299949363, -0.8626931373671017]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/03-01-05-02-02-02-11.wav,train,49,12,1,"[8.327424226601336, -6.1911128891599665]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-628__source_movie__0__angry_media.wav,train,1,1,0,"[-6.09145674689114, 4.348125933281804]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/0011_000572.wav,train,50,2,1,"[11.105824742249622, -4.822072566800139]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/1029_TIE_ANG_XX.wav,train,22,4,2,"[6.115297388182909, -1.2514644407279223]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/03-01-05-02-02-01-20.wav,train,51,7,1,"[11.625395792884904, -7.261000876117309]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-478__source_movie__0__angry_media.wav,train,15,4,2,"[4.020307892658586, 0.7882915138793944]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-232__source_drama__0__angry_media.wav,train,47,1,0,"[-6.148239959122979, 4.490595188821441]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/1089_IWW_ANG_XX.wav,train,42,4,2,"[5.972342105147639, 0.022092055783459782]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/1043_WSI_ANG_XX.wav,train,52,13,2,"[9.748502843912796, 2.1313942636707948]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/OAF_mode_angry.wav,train,29,10,1,"[8.386841661520231, -2.131995871041821]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-285__source_drama__0__angry_media.wav,train,21,1,0,"[-5.98761947518487, 4.3981736592745655]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-537__source_movie__0__angry_media.wav,train,36,6,3,"[-21.26534529490209, -5.400410290414831]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/03-01-05-02-02-01-02.wav,train,53,2,1,"[11.184308617198422, -4.913061143487801]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-334__source_drama__0__angry_media.wav,train,54,1,0,"[-5.71123843486548, 4.196188584749889]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/1023_IEO_ANG_HI.wav,train,34,4,2,"[6.349056000961807, -0.878096495070595]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-80__source_drama__0__angry_media.wav,train,55,0,0,"[-3.126818273162863, 1.759013954339879]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-523__source_movie__0__angry_media.wav,train,13,3,0,"[-4.52448641767546, 4.519764070766321]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-16__source_drama__0__angry_media.wav,train,55,0,0,"[-3.2218265995143707, 1.7933709460900067]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/03-01-05-02-02-02-13.wav,train,32,7,1,"[13.468753485348842, -7.024509384582016]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-97__source_drama__0__angry_media.wav,train,56,11,0,"[-0.44973688928510236, 3.1690894135122325]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-188__source_drama__0__angry_media.wav,train,11,1,0,"[-5.887570781834587, 4.1231263161025105]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/1044_IEO_ANG_HI.wav,train,34,4,2,"[6.340355129489993, -0.9113800086166873]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-522__source_movie__0__angry_media.wav,train,21,1,0,"[-6.006653763865476, 4.40540272167842]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/03-01-05-02-02-01-15.wav,train,57,7,1,"[12.981593973818029, -5.9071702148202965]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/1053_WSI_ANG_XX.wav,train,58,13,2,"[8.295738865168506, 5.086623886601424]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/03-01-05-02-02-01-23.wav,train,28,7,1,"[13.789467074515406, -6.852526731872104]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/1058_IEO_ANG_HI.wav,train,22,4,2,"[6.007031296010342, -1.325515490300055]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-645__source_movie__0__angry_media.wav,train,59,6,3,"[-18.4609033995361, -4.285645398052312]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/1077_IEO_ANG_HI.wav,train,34,4,2,"[6.3442159513267375, -0.8782655037630673]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-349__source_drama__0__angry_media.wav,train,60,1,0,"[-5.837283132276195, 4.076556006265687]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-409__source_movie__0__angry_media.wav,train,11,1,0,"[-5.884701183095197, 4.111498045729256]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-640__source_movie__0__angry_media.wav,train,61,1,0,"[-6.092735700127679, 4.262801718542168]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-420__source_movie__0__angry_media.wav,train,21,1,0,"[-6.013415420857459, 4.3792806561239255]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-391__source_drama__0__angry_media.wav,train,35,3,0,"[-4.64425898435652, 5.074145451147352]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/OAF_dodge_angry.wav,train,23,9,1,"[12.110347554972774, -3.834285254555519]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-60__source_drama__0__angry_media.wav,train,60,1,0,"[-5.849078942696861, 4.089680143961138]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-697__source_movie__0__angry_media.wav,train,62,6,3,"[-21.50069669225846, -6.179807437005297]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-269__source_drama__0__angry_media.wav,train,63,0,0,"[-4.140798720434148, 1.6623797545979375]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-609__source_movie__0__angry_media.wav,train,11,1,0,"[-5.875171940266657, 4.108262140832787]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/1005_IEO_ANG_HI.wav,train,34,4,2,"[6.345572389654176, -0.8759042456486664]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-133__source_drama__0__angry_media.wav,train,21,1,0,"[-6.000324956236652, 4.404445992840188]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/03-01-05-02-01-01-07.wav,train,57,7,1,"[12.923612879493556, -5.943379949705398]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-441__source_movie__0__angry_media.wav,train,21,1,0,"[-6.012158005093572, 4.39354484425339]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-106__source_drama__0__angry_media.wav,train,60,1,0,"[-5.837744363382516, 4.070151884122388]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/03-01-05-02-01-01-23.wav,train,28,7,1,"[13.805289677835246, -6.833722963081759]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-215__source_drama__0__angry_media.wav,train,64,3,0,"[-4.685010798058021, 4.850336210531735]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-439__source_movie__0__angry_media.wav,train,65,1,0,"[-6.113409761102608, 4.0887236757882635]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/03-01-05-02-02-01-13.wav,train,32,7,1,"[13.706161233953294, -7.020232523200164]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/03-01-05-02-01-01-08.wav,train,66,12,1,"[6.994614274592096, -6.585761965561698]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-678__source_movie__1__angry_media.wav,train,21,1,0,"[-6.01299470436169, 4.402229203767672]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-655__source_movie__0__angry_media.wav,train,62,6,3,"[-21.40382385891992, -6.453574142816794]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/1041_DFA_ANG_XX.wav,train,34,4,2,"[6.352034509656567, -0.8651291957034586]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-109__source_drama__0__angry_media.wav,train,60,1,0,"[-5.846327885377601, 4.075058651138682]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/1061_DFA_ANG_XX.wav,train,67,13,2,"[10.00383274909549, 6.049413185362189]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/1064_DFA_ANG_XX.wav,train,22,4,2,"[6.122679180538035, -1.2143140316067016]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-301__source_drama__0__angry_media.wav,train,68,1,0,"[-5.850339553101763, 4.4369100042477445]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-501__source_movie__1__angry_media.wav,train,69,5,3,"[-13.180418915207513, -12.821934481920053]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-611__source_movie__0__angry_media.wav,train,8,6,3,"[-20.65631748502691, -5.7867944479775115]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/1033_DFA_ANG_XX.wav,train,34,4,2,"[6.353753100329687, -0.8529209702367098]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-617__source_movie__1__angry_media.wav,train,21,1,0,"[-6.00992367626126, 4.398087098092778]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-402__source_movie__0__angry_media.wav,train,70,1,0,"[-6.407176343128811, 4.24516290549459]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/03-01-05-02-01-02-05.wav,train,71,12,1,"[8.42150163052745, -5.9770395736596225]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/1006_DFA_ANG_XX.wav,train,22,4,2,"[6.123906328438924, -1.2530767102173805]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/0011_000502.wav,train,4,2,1,"[11.07884897005442, -4.508220141721977]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-341__source_drama__0__angry_media.wav,train,72,1,0,"[-6.32678905836742, 4.216262037717181]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-586__source_movie__0__angry_media.wav,train,21,1,0,"[-6.001914194900512, 4.39013751498277]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/1041_ITH_ANG_XX.wav,train,15,4,2,"[4.244046180651477, 0.7499673535553453]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-430__source_movie__0__angry_media.wav,train,73,6,3,"[-18.045149017095497, -2.8948996140315755]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-279__source_drama__0__angry_media.wav,train,74,1,0,"[-5.535365347360185, 4.409393766430363]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-266__source_drama__0__angry_media.wav,train,75,1,0,"[-6.136221548464669, 4.386897055945938]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/1059_DFA_ANG_XX.wav,train,34,4,2,"[6.340335264983806, -0.8590343273233058]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-339__source_drama__0__angry_media.wav,train,9,1,0,"[-6.15886119221031, 4.377066009721129]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/0011_000414.wav,train,4,2,1,"[11.08027505342767, -4.490093423294473]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/0019_000584.wav,train,45,2,1,"[11.11770089707402, -4.661893459420508]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-471__source_movie__0__angry_media.wav,train,11,1,0,"[-5.88203426257805, 4.1158500306126165]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/0020_000490.wav,train,50,2,1,"[11.120772411406428, -4.810514331093118]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-197__source_drama__0__angry_media.wav,train,17,0,0,"[-3.3389745858857727, 2.392257367774982]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-91__source_drama__0__angry_media.wav,train,76,0,0,"[-3.746118810724837, 1.5867939792729617]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-357__source_drama__0__angry_media.wav,train,60,1,0,"[-5.863525159603971, 4.074859103698473]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/03-01-05-02-01-01-09.wav,train,77,14,1,"[9.457466043412527, -7.722929103774094]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-528__source_movie__0__angry_media.wav,train,21,1,0,"[-6.015110446417889, 4.392173219680733]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/1041_MTI_ANG_XX.wav,train,34,4,2,"[6.352968053560105, -0.8565724669009771]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-286__source_drama__0__angry_media.wav,train,21,1,0,"[-5.989782721557107, 4.405217078076622]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-242__source_drama__0__angry_media.wav,train,78,1,0,"[-5.425841324621408, 4.2263174011664875]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/1018_IEO_ANG_HI.wav,train,22,4,2,"[6.139099890409389, -1.2671601723491457]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/03-01-05-02-01-02-07.wav,train,71,12,1,"[8.350567809295816, -6.085983794149752]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-372__source_drama__0__angry_media.wav,train,21,1,0,"[-5.976927865809815, 4.379115416970517]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/03-01-05-02-02-01-22.wav,train,10,7,1,"[13.718845395417022, -6.535306597039589]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-18__source_drama__0__angry_media.wav,train,35,3,0,"[-4.5746943569447565, 5.0473727065487175]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-231__source_drama__0__angry_media.wav,train,79,1,0,"[-5.762358487077427, 4.352487909680683]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-308__source_drama__0__angry_media.wav,train,80,1,0,"[-6.02307149852484, 3.9960106053308957]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/OAF_read_angry.wav,train,29,10,1,"[8.361211803173584, -2.084726619639965]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-17__source_drama__0__angry_media.wav,train,76,0,0,"[-3.7904979148594977, 1.6069117763260614]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/OAF_jug_angry.wav,train,23,9,1,"[12.05555224613539, -3.8478800438702665]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/0011_000504.wav,train,4,2,1,"[11.06342906570374, -4.483947192239712]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/angry_media-192__source_drama__0__angry_media.wav,train,46,3,0,"[-4.600923190575185, 4.769857246039846]"
/data/minseok/data_share/AggressiveYell/AggressiveYell_16K/train/0016_000364.wav,train,20,2,1,"[11.245830055409641, -4.832381120352691]"
